Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
44549976,6.415387,1.646321,3.493646,-69.300003,158.830002,68.529999,142.214661,-92.516159,50.917839
44549991,5.869803,1.048094,4.714029,-71.889999,169.259995,77.699997,141.90715,-94.86261,49.803024
44550011,5.269184,0.923663,4.757101,-68.040001,174.160004,86.029999,140.56044,-94.673424,46.621304
44550031,4.852818,0.935627,4.113409,-64.260002,178.220001,91.769997,138.925491,-96.546844,44.05719
44550051,4.225876,0.126824,5.082537,-56.490002,191.449997,97.300003,137.665222,-98.778732,39.184048
44550066,3.050958,-0.277577,6.944219,-43.959999,205.309998,100.029999,136.868332,-98.351585,41.227703
44550086,1.904755,-0.923663,8.375178,-30.1,204.610001,99.400002,134.573563,-98.527649,38.26796
44550106,1.488389,-1.773145,9.246197,-9.87,196.210007,99.959999,131.422729,-100.929291,36.321293
44550126,1.270634,-1.840146,9.243804,9.52,193.130005,98.07,130.723785,-105.080276,33.907917
44550141,0.18904,-1.732466,10.361292,20.51,197.820007,95.269997,126.29229,-102.758858,31.96595
44550161,-1.237134,-1.988507,11.289741,24.08,193.059998,90.160004,124.252754,-101.360046,31.246275
44550181,-1.608034,-2.208654,11.844895,23.309999,173.880005,82.739998,120.352577,-102.563957,30.077688
44550201,-1.229955,-1.74443,11.914289,14.14,153.720001,73.849998,119.719696,-102.181061,30.850731
44550216,-1.115095,-1.969363,12.045899,-0.77,142.660004,65.379997,118.110466,-102.169373,31.003769
44550236,-1.524282,-3.206497,12.950418,-4.83,133.210007,58.450001,115.418671,-105.191513,28.102919
44550256,-1.770752,-3.850189,13.527109,6.58,119.699997,56.420002,113.177444,-103.756371,27.531218
44550276,-1.677429,-3.3405,13.400286,21.629999,105.629997,58.099998,110.581268,-100.918266,28.332083
44550291,-1.567355,-2.208654,12.924097,24.57,93.309998,59.43,110.757202,-103.320503,29.306927
44550311,-1.62957,-1.62957,12.438336,10.08,79.099998,55.720001,108.346825,-102.121986,28.694418
44550331,-1.512318,-2.3618,12.182295,1.19,63.630001,50.610001,104.964409,-101.57354,26.431135
44550351,-1.198847,-2.079437,11.698928,-0.14,53.200001,48.23,104.942154,-100.738876,29.242773
44550367,-1.921505,-0.033501,14.462736,-49.98,54.670002,44.59,103.537148,-102.642677,27.372663
44550387,-4.039229,-7.238547,16.16888,-71.959999,56.700001,9.45,106.06868,-104.655045,28.120466
44550407,-5.606584,-6.939434,10.480937,-15.82,0.56,-9.8,103.900208,-105.364082,26.607445
44550427,-1.196454,0.701122,6.408208,14.07,-62.93,0.84,104.738609,-106.822845,27.324539
44550442,3.182568,0.248862,6.944219,5.53,-25.48,8.61,103.887833,-103.766769,27.030865
44550462,-1.378315,-1.387887,10.543153,14.77,43.049999,6.86,103.597946,-102.90966,28.025856
44550482,-5.23329,-1.483603,13.287819,13.93,32.970001,1.05,103.224609,-100.749977,26.168221
44550502,-2.105759,0.031108,9.844424,1.47,-26.74,2.59,100.726791,-102.690933,27.523121
44550517,1.091166,-1.718108,8.743686,-6.72,-25.549999,-3.01,102.924309,-105.455399,27.158537
44550537,-1.155775,-1.902362,9.944926,1.54,11.06,0.56,103.621063,-103.184578,27.556412
44550557,-2.598698,-1.691786,10.44983,7.91,7.98,1.61,101.795601,-103.419403,26.265339
44550577,-1.289778,-1.641535,10.141145,10.43,-9.94,0.0,103.399223,-104.472633,27.469753
44550592,-0.703515,-1.493175,9.880318,13.440001,-4.69,0.42,102.617332,-103.001976,28.436621
44550612,-1.505139,-1.02895,9.856388,15.33,3.29,1.75,102.352676,-104.578827,25.915897
44550632,-1.703751,-0.799231,9.976034,12.25,0.07,1.68,101.384552,-101.748444,27.12504
44550652,-1.411816,-0.842304,9.985605,7.84,-4.06,0.42,101.858139,-102.086105,27.762945
44550667,-1.373529,-1.048094,9.954497,4.48,-3.78,0.0,103.241241,-103.106979,28.554012
44550687,-1.340029,-1.232348,9.95689,3.01,-3.5,0.35,103.846306,-103.215942,28.110085
44550707,-1.265848,-1.208419,9.961677,2.73,-3.71,0.7,103.905342,-105.083214,27.918871
44550727,-1.249098,-0.926055,9.928176,0.77,-2.87,1.19,104.138359,-102.192886,29.130598
44550742,-1.335243,-1.167739,10.045428,-1.33,-1.54,1.26,102.300079,-101.110268,27.09185
44550762,-1.483603,-1.184489,9.992785,-2.1,-1.47,1.19,103.626205,-102.903717,28.867836
44550782,-1.409423,-1.148596,9.932961,-2.1,-2.59,1.05,104.024445,-103.257225,27.26046
44550802,-1.399851,-1.182097,9.971248,-2.73,-2.45,0.98,104.680878,-103.635162,27.189068
44550817,-1.428566,-1.313707,10.023892,-2.1,-1.89,0.84,104.080528,-103.5252,27.773327
44550837,-1.39028,-1.428566,9.992785,0.21,-2.59,0.84,104.66893,-101.757965,28.783583
44550857,-1.363958,-1.213204,9.913818,1.89,-2.87,0.98,103.540535,-103.962097,27.839678
44550877,-1.409423,-1.225169,9.932961,1.82,-2.45,0.84,104.560036,-107.06144,27.003067
44550892,-1.445316,-1.25867,9.952105,2.24,-2.66,0.7,102.225914,-104.806519,27.138056
44550912,-1.328064,-1.241919,10.052607,2.73,-3.22,0.77,104.243645,-104.609993,28.000492
44550932,-1.3496,-1.189275,9.992785,2.8,-2.45,0.77,104.718552,-103.627228,28.311708
44550952,-1.361565,-1.246705,9.94014,2.8,-2.24,0.91,103.242134,-102.066429,27.056229
44550967,-1.402244,-1.122274,9.942533,3.15,-2.45,1.33,104.758759,-105.498466,27.559174
44550987,-1.380708,-1.095952,10.016713,2.31,-2.17,1.33,102.006813,-98.933739,27.619827
44551007,-1.430959,-1.229955,9.990392,1.47,-2.24,0.91,103.127853,-99.371437,29.076771
44551027,-1.351993,-1.131845,9.916211,1.47,-2.73,0.77,104.787125,-100.972511,29.622953
44551042,-1.296956,-1.14381,9.964069,0.84,-2.1,1.05,104.453537,-101.444748,29.681665
44551062,-1.438138,-1.268241,10.028678,0.77,-1.82,1.05,103.276413,-100.739075,27.711851
44551082,-1.42378,-1.261063,10.031071,1.54,-2.59,0.98,102.103104,-101.072952,27.380156
44551102,-1.340029,-1.103131,9.973641,2.03,-2.52,1.26,103.500336,-102.090858,28.592213
44551118,-1.325671,-1.076809,10.007142,1.05,-2.1,1.61,100.707527,-102.97477,25.790705
